,TestStatistic,1840pad,1840pbe,1840pcf,10310_4134pa,ski2008pa,23182pa,7207_339pa,SCRAPIE,9914_1261pa,2867pbd,2867pac,SCA,19677_1261pa,19677_1261pb,HD,14499pab,AllIndStudies,Meta,TestStatistic
,,scrapie,scrapie,scrapie,scrapie,scrapie,scrapie,scrapie,all scrp,SCA,SCA,SCA,all SCA,Huntington,Huntington,all HD,Alzheim,,,
NM_009735,-3.08632675135099,0,1,1,0,0,1,1,4,0,0,0,0,0,0,0,0,1,0,-3.08632675135099
NM_007657,-3.99595490634138,0,0,1,0,0,1,1,3,0,0,0,0,0,0,0,0,1,0,-3.99595490634138
NM_008175,-2.0363530632938,0,0,1,0,0,1,1,3,0,0,0,0,0,0,0,0,1,0,-2.0363530632938
NM_134438,-1.59184286992677,0,0,1,0,0,1,1,3,0,0,0,0,0,0,0,0,1,0,-1.59184286992677
NM_001131020,0.100756964036066,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0.100756964036066
NM_001136260,0.715548840237406,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0.715548840237406
NM_007695,-4.25719490043397,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,-4.25719490043397
NM_007798,-3.14031452824892,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,-3.14031452824892
NM_009370,-2.04081593105983,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,-2.04081593105983
NM_009700,-1.73051215258626,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,-1.73051215258626
NM_010299,-1.04039510923964,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,-1.04039510923964
NM_010380,1.12303280915163,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,1.12303280915163
NM_010421,1.17954017356148,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1.17954017356148
NM_010422,-4.57198765701222,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,-4.57198765701222
NM_010745,-1.50277365829048,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,-1.50277365829048
NM_013454,-0.180165480699218,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,-0.180165480699218
NM_019503,-1.9500515184655,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,-1.9500515184655
NM_021281,-3.90161715512285,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,-3.90161715512285
NM_023587,1.16611868992411,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,1.16611868992411
NM_026418,-0.533900137742139,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,-0.533900137742139
